time_local,time_utc,timestamp_ms,price_eur_per_mwh,resolution,source
2025-01-01T12:00+01:00,2025-01-01T11:00+00:00,1735729200000,-0.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T12:15+01:00,2025-01-01T11:15+00:00,1735730100000,-0.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T12:30+01:00,2025-01-01T11:30+00:00,1735731000000,-0.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T12:45+01:00,2025-01-01T11:45+00:00,1735731900000,-0.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T13:00+01:00,2025-01-01T12:00+00:00,1735732800000,-0.100000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T13:15+01:00,2025-01-01T12:15+00:00,1735733700000,-0.100000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T13:30+01:00,2025-01-01T12:30+00:00,1735734600000,-0.100000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T13:45+01:00,2025-01-01T12:45+00:00,1735735500000,-0.100000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T14:00+01:00,2025-01-01T13:00+00:00,1735736400000,-1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T14:15+01:00,2025-01-01T13:15+00:00,1735737300000,-1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T14:30+01:00,2025-01-01T13:30+00:00,1735738200000,-1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T14:45+01:00,2025-01-01T13:45+00:00,1735739100000,-1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T15:00+01:00,2025-01-01T14:00+00:00,1735740000000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T15:15+01:00,2025-01-01T14:15+00:00,1735740900000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T15:30+01:00,2025-01-01T14:30+00:00,1735741800000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T15:45+01:00,2025-01-01T14:45+00:00,1735742700000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T16:00+01:00,2025-01-01T15:00+00:00,1735743600000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T16:15+01:00,2025-01-01T15:15+00:00,1735744500000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T16:30+01:00,2025-01-01T15:30+00:00,1735745400000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T16:45+01:00,2025-01-01T15:45+00:00,1735746300000,-0.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T17:00+01:00,2025-01-01T16:00+00:00,1735747200000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T17:15+01:00,2025-01-01T16:15+00:00,1735748100000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T17:30+01:00,2025-01-01T16:30+00:00,1735749000000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T17:45+01:00,2025-01-01T16:45+00:00,1735749900000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T18:00+01:00,2025-01-01T17:00+00:00,1735750800000,1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T18:15+01:00,2025-01-01T17:15+00:00,1735751700000,1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T18:30+01:00,2025-01-01T17:30+00:00,1735752600000,1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T18:45+01:00,2025-01-01T17:45+00:00,1735753500000,1.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T19:00+01:00,2025-01-01T18:00+00:00,1735754400000,1.480000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T19:15+01:00,2025-01-01T18:15+00:00,1735755300000,1.480000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T19:30+01:00,2025-01-01T18:30+00:00,1735756200000,1.480000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T19:45+01:00,2025-01-01T18:45+00:00,1735757100000,1.480000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T20:00+01:00,2025-01-01T19:00+00:00,1735758000000,1.000000,quarterhour,SMARD day-ahead auction DE/LU
